,start,end,pattern
0,2020-01-02 11:40:00,2020-01-02 12:55:00,Double Bottom
1,2020-01-06 10:50:00,2020-01-06 12:20:00,Double Top
2,2020-01-07 11:10:00,2020-01-07 12:50:00,Head and shoulders
3,2020-01-09 13:25:00,2020-01-09 14:40:00,Double Bottom
4,2020-01-10 10:55:00,2020-01-10 12:30:00,Double Top
5,2020-01-13 10:50:00,2020-01-13 12:45:00,Head and shoulders
6,2020-01-14 09:50:00,2020-01-14 12:05:00,Reverse Head and shoulders
7,2020-01-21 10:25:00,2020-01-21 11:35:00,Double Top
8,2020-01-31 10:15:00,2020-01-31 11:30:00,Double Top
9,2020-02-03 12:10:00,2020-02-03 13:20:00,Double Top
10,2020-02-04 09:50:00,2020-02-04 12:00:00,Head and shoulders
11,2020-02-06 10:10:00,2020-02-06 11:40:00,Double Top
12,2020-02-10 10:55:00,2020-02-10 13:00:00,Reverse Head and shoulders
13,2020-02-12 10:40:00,2020-02-12 12:50:00,Head and shoulders
14,2020-02-13 11:55:00,2020-02-13 13:15:00,Double Bottom
15,2020-02-14 10:20:00,2020-02-14 11:50:00,Double Top
16,2020-02-18 13:30:00,2020-02-18 14:45:00,Double Top
17,2020-02-24 12:30:00,2020-02-24 14:40:00,Reverse Head and shoulders
18,2020-02-25 11:35:00,2020-02-25 12:50:00,Double Top
19,2020-03-02 11:25:00,2020-03-02 13:35:00,Head and shoulders
20,2020-03-13 10:00:00,2020-03-13 11:15:00,Double Bottom
21,2020-04-06 12:20:00,2020-04-06 13:35:00,Double Top
22,2020-04-07 11:00:00,2020-04-07 12:50:00,Head and shoulders
23,2020-04-09 12:00:00,2020-04-09 13:20:00,Double Top
24,2020-04-10 11:25:00,2020-04-10 12:45:00,Double Top
25,2020-04-24 11:10:00,2020-04-24 12:30:00,Double Top
26,2020-04-27 11:15:00,2020-04-27 12:35:00,Double Top
27,2020-04-29 12:15:00,2020-04-29 13:40:00,Double Bottom
28,2020-05-01 12:25:00,2020-05-01 13:50:00,Double Top
29,2020-05-04 11:20:00,2020-05-04 13:20:00,Reverse Head and shoulders
30,2020-05-06 10:30:00,2020-05-06 12:05:00,Double Bottom
31,2020-05-07 12:40:00,2020-05-07 14:35:00,Head and shoulders
32,2020-05-18 13:05:00,2020-05-18 14:30:00,Double Top
33,2020-05-19 12:50:00,2020-05-19 14:50:00,Head and shoulders
34,2020-05-27 12:20:00,2020-05-27 14:20:00,Head and shoulders
35,2020-06-02 11:15:00,2020-06-02 13:00:00,Head and shoulders
36,2020-06-08 10:55:00,2020-06-08 12:05:00,Double Bottom
37,2020-06-09 10:45:00,2020-06-09 12:40:00,Head and shoulders
38,2020-06-10 11:40:00,2020-06-10 13:55:00,Head and shoulders
39,2020-06-11 12:00:00,2020-06-11 13:20:00,Double Top
40,2020-06-15 12:20:00,2020-06-15 14:05:00,Reverse Head and shoulders
41,2020-06-19 10:55:00,2020-06-19 12:55:00,Head and shoulders
42,2020-06-24 13:45:00,2020-06-24 14:55:00,Double Top
43,2020-06-26 10:50:00,2020-06-26 11:55:00,Double Top
44,2020-06-30 10:05:00,2020-06-30 11:20:00,Double Top
45,2020-07-02 11:55:00,2020-07-02 13:55:00,Head and shoulders
46,2020-07-08 12:55:00,2020-07-08 14:55:00,Head and shoulders
47,2020-07-09 10:40:00,2020-07-09 12:40:00,Head and shoulders
48,2020-07-16 11:15:00,2020-07-16 12:40:00,Double Top
49,2020-07-22 11:00:00,2020-07-22 12:10:00,Double Top
50,2020-07-23 10:40:00,2020-07-23 11:55:00,Double Top
51,2020-07-29 09:50:00,2020-07-29 11:20:00,Double Bottom
52,2020-08-06 10:45:00,2020-08-06 12:30:00,Reverse Head and shoulders
53,2020-08-07 13:20:00,2020-08-07 14:30:00,Double Top
54,2020-08-11 11:25:00,2020-08-11 12:35:00,Double Bottom
55,2020-08-17 12:20:00,2020-08-17 13:45:00,Double Bottom
56,2020-08-19 11:25:00,2020-08-19 12:55:00,Head and shoulders
57,2020-08-20 10:30:00,2020-08-20 12:00:00,Double Top
58,2020-08-25 10:00:00,2020-08-25 11:20:00,Double Bottom
59,2020-08-26 13:20:00,2020-08-26 14:40:00,Double Top
60,2020-09-02 11:05:00,2020-09-02 12:50:00,Reverse Head and shoulders
61,2020-09-10 11:15:00,2020-09-10 12:35:00,Double Top
62,2020-09-14 12:20:00,2020-09-14 13:35:00,Double Top
63,2020-09-15 12:10:00,2020-09-15 14:05:00,Head and shoulders
64,2020-09-21 10:40:00,2020-09-21 11:55:00,Double Bottom
65,2020-10-02 12:35:00,2020-10-02 14:30:00,Head and shoulders
66,2020-10-07 10:00:00,2020-10-07 11:15:00,Double Bottom
67,2020-10-08 10:10:00,2020-10-08 12:00:00,Head and shoulders
68,2020-10-16 11:00:00,2020-10-16 12:20:00,Double Top
69,2020-10-20 13:00:00,2020-10-20 14:05:00,Double Bottom
70,2020-10-22 09:50:00,2020-10-22 11:15:00,Double Top
71,2020-10-27 10:20:00,2020-10-27 12:25:00,Head and shoulders
72,2020-10-29 12:00:00,2020-10-29 13:15:00,Double Top
73,2020-11-02 10:20:00,2020-11-02 12:35:00,Reverse Head and shoulders
74,2020-11-05 09:50:00,2020-11-05 11:45:00,Head and shoulders
75,2020-11-06 12:30:00,2020-11-06 13:50:00,Double Bottom
76,2020-11-16 11:20:00,2020-11-16 12:40:00,Double Top
77,2020-11-17 11:35:00,2020-11-17 13:40:00,Reverse Head and shoulders
78,2020-11-18 13:00:00,2020-11-18 14:15:00,Double Top
79,2020-11-19 12:35:00,2020-11-19 14:50:00,Head and shoulders
80,2020-11-26 11:35:00,2020-11-26 12:55:00,Double Bottom
81,2020-12-01 11:35:00,2020-12-01 13:20:00,Head and shoulders
82,2020-12-03 10:10:00,2020-12-03 11:35:00,Double Top
83,2020-12-11 10:40:00,2020-12-11 12:00:00,Double Top
84,2020-12-15 12:25:00,2020-12-15 13:35:00,Double Bottom
85,2020-12-18 12:55:00,2020-12-18 14:55:00,Head and shoulders
86,2020-12-23 10:15:00,2020-12-23 11:20:00,Double Bottom
87,2020-12-30 11:20:00,2020-12-30 13:15:00,Head and shoulders
88,2021-01-07 10:30:00,2021-01-07 12:25:00,Reverse Head and shoulders
89,2021-01-13 12:50:00,2021-01-13 14:20:00,Double Bottom
90,2021-01-14 10:15:00,2021-01-14 11:35:00,Double Top
91,2021-01-15 12:20:00,2021-01-15 13:45:00,Double Top
92,2021-01-18 11:00:00,2021-01-18 12:50:00,Head and shoulders
93,2021-01-20 11:50:00,2021-01-20 13:05:00,Double Bottom
94,2021-01-21 10:25:00,2021-01-21 12:25:00,Reverse Head and shoulders
95,2021-01-28 10:10:00,2021-01-28 12:10:00,Head and shoulders
96,2021-02-03 12:00:00,2021-02-03 13:20:00,Double Bottom
97,2021-02-08 11:15:00,2021-02-08 12:50:00,Double Top
98,2021-02-10 10:50:00,2021-02-10 12:45:00,Reverse Head and shoulders
99,2021-02-16 12:05:00,2021-02-16 13:25:00,Double Bottom
100,2021-02-17 11:10:00,2021-02-17 12:30:00,Double Bottom
101,2021-03-02 11:35:00,2021-03-02 12:55:00,Double Top
102,2021-03-03 13:20:00,2021-03-03 14:35:00,Double Top
103,2021-03-04 10:45:00,2021-03-04 12:55:00,Reverse Head and shoulders
104,2021-03-08 10:45:00,2021-03-08 12:45:00,Head and shoulders
105,2021-03-18 10:45:00,2021-03-18 12:40:00,Head and shoulders
106,2021-03-26 13:30:00,2021-03-26 14:50:00,Double Top
107,2021-04-01 11:00:00,2021-04-01 13:10:00,Reverse Head and shoulders
108,2021-04-13 13:00:00,2021-04-13 14:20:00,Double Top
109,2021-04-15 12:45:00,2021-04-15 14:40:00,Reverse Head and shoulders
110,2021-04-19 11:15:00,2021-04-19 13:10:00,Head and shoulders
111,2021-04-21 12:50:00,2021-04-21 14:45:00,Head and shoulders
112,2021-04-23 12:05:00,2021-04-23 13:55:00,Head and shoulders
113,2021-04-26 13:05:00,2021-04-26 14:50:00,Head and shoulders
114,2021-04-29 12:40:00,2021-04-29 14:35:00,Reverse Head and shoulders
115,2021-05-04 10:40:00,2021-05-04 11:45:00,Double Top
116,2021-05-05 10:25:00,2021-05-05 11:45:00,Double Top
117,2021-05-11 11:15:00,2021-05-11 12:35:00,Double Bottom
118,2021-05-18 11:30:00,2021-05-18 13:25:00,Reverse Head and shoulders
119,2021-05-21 09:55:00,2021-05-21 11:05:00,Double Top
120,2021-06-02 10:00:00,2021-06-02 12:15:00,Reverse Head and shoulders
121,2021-06-09 13:00:00,2021-06-09 14:20:00,Double Bottom
122,2021-06-10 12:55:00,2021-06-10 14:35:00,Double Top
123,2021-06-11 11:35:00,2021-06-11 12:55:00,Double Top
124,2021-06-17 09:45:00,2021-06-17 11:55:00,Head and shoulders
125,2021-06-23 12:45:00,2021-06-23 14:40:00,Head and shoulders
126,2021-06-28 12:40:00,2021-06-28 14:05:00,Double Top
127,2021-06-30 10:45:00,2021-06-30 12:55:00,Head and shoulders
128,2021-07-01 11:25:00,2021-07-01 12:55:00,Double Top
