,start,end,pattern
0,2020-01-06 11:10:00,2020-01-06 13:15:00,Reverse Head and shoulders
1,2020-01-07 11:35:00,2020-01-07 12:50:00,Double Top
2,2020-01-08 10:35:00,2020-01-08 12:40:00,Head and shoulders
3,2020-01-14 11:20:00,2020-01-14 13:15:00,Head and shoulders
4,2020-01-16 09:45:00,2020-01-16 11:40:00,Head and shoulders
5,2020-01-17 12:45:00,2020-01-17 14:55:00,Head and shoulders
6,2020-01-22 12:15:00,2020-01-22 14:25:00,Head and shoulders
7,2020-01-27 11:25:00,2020-01-27 13:10:00,Head and shoulders
8,2020-01-28 10:20:00,2020-01-28 12:20:00,Reverse Head and shoulders
9,2020-02-04 13:00:00,2020-02-04 14:25:00,Double Top
10,2020-02-05 11:50:00,2020-02-05 13:15:00,Double Top
11,2020-02-07 11:40:00,2020-02-07 13:00:00,Double Top
12,2020-02-11 10:25:00,2020-02-11 12:25:00,Reverse Head and shoulders
13,2020-02-18 12:50:00,2020-02-18 14:40:00,Head and shoulders
14,2020-02-20 12:45:00,2020-02-20 13:50:00,Double Top
15,2020-02-24 13:00:00,2020-02-24 14:55:00,Head and shoulders
16,2020-03-03 10:50:00,2020-03-03 12:45:00,Head and shoulders
17,2020-03-09 12:20:00,2020-03-09 13:25:00,Double Top
18,2020-03-10 12:25:00,2020-03-10 14:30:00,Reverse Head and shoulders
19,2020-03-11 11:10:00,2020-03-11 12:30:00,Double Top
20,2020-03-13 11:00:00,2020-03-13 13:05:00,Head and shoulders
21,2020-03-16 11:20:00,2020-03-16 13:25:00,Reverse Head and shoulders
22,2020-03-20 11:35:00,2020-03-20 13:30:00,Head and shoulders
23,2020-03-24 10:00:00,2020-03-24 12:00:00,Head and shoulders
24,2020-03-30 12:15:00,2020-03-30 13:20:00,Double Top
25,2020-04-01 11:10:00,2020-04-01 13:05:00,Head and shoulders
26,2020-04-15 12:20:00,2020-04-15 14:15:00,Head and shoulders
27,2020-04-20 12:50:00,2020-04-20 14:05:00,Double Bottom
28,2020-04-29 11:35:00,2020-04-29 12:55:00,Double Bottom
29,2020-05-04 10:35:00,2020-05-04 12:30:00,Head and shoulders
30,2020-05-07 11:30:00,2020-05-07 13:40:00,Head and shoulders
31,2020-05-08 11:00:00,2020-05-08 13:05:00,Head and shoulders
32,2020-05-14 10:15:00,2020-05-14 11:40:00,Double Top
33,2020-05-19 13:05:00,2020-05-19 14:30:00,Double Top
34,2020-05-20 10:10:00,2020-05-20 12:05:00,Head and shoulders
35,2020-05-21 12:50:00,2020-05-21 14:35:00,Reverse Head and shoulders
36,2020-05-27 10:30:00,2020-05-27 11:55:00,Double Top
37,2020-05-28 12:20:00,2020-05-28 14:25:00,Head and shoulders
38,2020-05-29 12:20:00,2020-05-29 14:35:00,Reverse Head and shoulders
39,2020-06-02 13:05:00,2020-06-02 14:15:00,Double Bottom
40,2020-06-15 12:20:00,2020-06-15 14:15:00,Head and shoulders
41,2020-06-16 10:55:00,2020-06-16 13:15:00,Head and shoulders
42,2020-06-17 10:45:00,2020-06-17 12:55:00,Reverse Head and shoulders
43,2020-06-19 10:40:00,2020-06-19 12:55:00,Head and shoulders
