,open,close,high,low,date
0,1342.1,1345.0852208792037,1348.6597360784388,1338.5254848007648,2020-01-02 09:00:00
1,1345.0852208792037,1348.1654423970208,1349.6932721331311,1343.5573911430934,2020-01-02 09:05:00
2,1348.1654423970208,1348.9649975513546,1358.7694023459521,1338.3610376024233,2020-01-02 09:10:00
3,1348.9649975513546,1351.86,1359.9481867467662,1340.8768108045883,2020-01-02 09:15:00
4,1351.86,1351.0726864821886,1354.9702948319461,1347.9623916502424,2020-01-02 09:20:00
5,1351.0726864821886,1344.7995591206684,1355.5225308943197,1340.3497147085372,2020-01-02 09:25:00
6,1344.7995591206684,1346.2804615670398,1351.1576546092058,1339.9223660785024,2020-01-02 09:30:00
7,1346.2804615670398,1345.7573264613472,1347.127143018485,1344.910645009902,2020-01-02 09:35:00
8,1345.7573264613472,1343.436234961048,1345.8327913222686,1343.3607701001267,2020-01-02 09:40:00
9,1343.436234961048,1340.3006469659963,1346.602401004494,1337.1344809225504,2020-01-02 09:45:00
10,1340.3006469659963,1337.6799999999998,1345.5896232300395,1332.3910237359567,2020-01-02 09:50:00
11,1337.6799999999998,1335.1752931613948,1344.274155590828,1328.5811375705666,2020-01-02 09:55:00
12,1335.1752931613948,1336.0195397419795,1341.2976974483524,1329.897135455022,2020-01-02 10:00:00
13,1336.0195397419795,1331.8878242650135,1343.2181876730026,1324.6891763339904,2020-01-02 10:05:00
14,1331.8878242650135,1328.222134380399,1332.4286768551392,1327.6812817902733,2020-01-02 10:10:00
15,1328.222134380399,1328.2040334290703,1333.569955983761,1322.8562118257082,2020-01-02 10:15:00
16,1328.2040334290703,1324.9371157124176,1329.8771818466955,1323.2639672947923,2020-01-02 10:20:00
17,1324.9371157124176,1314.1886768988225,1327.603228807664,1311.522563803576,2020-01-02 10:25:00
18,1314.1886768988225,1315.7499999999998,1318.7003200835325,1311.2383568152898,2020-01-02 10:30:00
19,1315.7499999999998,1313.6288959588494,1325.0071965163334,1304.3716994425158,2020-01-02 10:35:00
20,1313.6288959588494,1312.7878817223261,1317.2876544535914,1309.1291232275842,2020-01-02 10:40:00
21,1312.7878817223261,1304.9501627975185,1322.1684055892963,1295.5696389305483,2020-01-02 10:45:00
22,1304.9501627975185,1304.1551763875916,1314.6151385662358,1294.4902006188743,2020-01-02 10:50:00
23,1304.1551763875916,1296.0653746596824,1310.783507101265,1289.437043946009,2020-01-02 10:55:00
24,1296.0653746596824,1294.1399999999999,1301.3978914316845,1288.8074832279979,2020-01-02 11:00:00
25,1294.1399999999999,1290.593886946005,1295.3345183677338,1289.399368578271,2020-01-02 11:05:00
26,1290.593886946005,1289.4922887710607,1300.4522202259068,1279.6339554911588,2020-01-02 11:10:00
27,1289.4922887710607,1285.396294873759,1299.9849739094896,1274.90360973533,2020-01-02 11:15:00
28,1285.396294873759,1285.9040323612885,1287.899493989092,1283.4008332459555,2020-01-02 11:20:00
29,1285.9040323612885,1278.3577089070182,1287.2882490692598,1276.9734921990469,2020-01-02 11:25:00
30,1278.3577089070182,1276.7009301616815,1284.3287149425382,1270.7299241261614,2020-01-02 11:30:00
31,1276.7009301616815,1273.7199999999998,1278.976045321807,1271.4448848398742,2020-01-02 11:35:00
32,1273.7199999999998,1236.5356628890545,1285.836290648955,1224.4193722400994,2020-01-02 11:40:00
33,1236.5356628890545,1218.3407657605999,1243.3029767052226,1211.5734519444318,2020-01-02 11:45:00
34,1218.3407657605999,1197.559896414616,1226.494469673345,1189.406192501871,2020-01-02 11:50:00
35,1205.6224605190089,1219.1592873099842,1226.4222546751141,1198.359493153879,2020-01-02 11:55:00
36,1219.1592873099842,1216.090400244957,1225.790217456081,1209.45947009886,2020-01-02 12:00:00
37,1216.090400244957,1228.8877382982764,1238.175712102636,1206.8024264405974,2020-01-02 12:05:00
38,1228.8877382982764,1237.5285895068755,1246.8797636166705,1219.5365641884814,2020-01-02 12:10:00
39,1237.5285895068755,1244.184300761407,1244.7689547810446,1236.943935487238,2020-01-02 12:15:00
40,1238.4579999999999,1229.3526500932226,1240.740330037596,1227.0703200556263,2020-01-02 12:20:00
41,1229.3526500932226,1224.9406959397515,1240.8222018055133,1213.4711442274609,2020-01-02 12:25:00
42,1224.9406959397515,1211.6421712107165,1228.3750139637361,1208.2078531867319,2020-01-02 12:30:00
43,1211.6421712107165,1202.5480496992527,1219.051793663035,1195.1384272469343,2020-01-02 12:35:00
44,1202.733577071959,1227.074583981693,1232.8273811330498,1196.9807799206021,2020-01-02 12:40:00
45,1227.074583981693,1241.0088060289463,1247.3447249894016,1220.7386650212377,2020-01-02 12:45:00
46,1241.0088060289463,1256.8366532991658,1268.3487189389218,1229.4967403891903,2020-01-02 12:50:00
47,1256.8366532991658,1254.8318446966878,1260.7995422235426,1250.868955772311,2020-01-02 12:55:00
48,1254.8318446966878,1251.4149240535044,1256.6399524659064,1249.6068162842857,2020-01-02 13:00:00
49,1251.4149240535044,1252.0495625115593,1262.6556104201684,1240.8088761448953,2020-01-02 13:05:00
50,1252.0495625115593,1252.670611829572,1255.146189830266,1249.5739845108653,2020-01-02 13:10:00
